# Таблица 1 – Описание структурной схемы мобильного приложения

№   Наименование модуля   Описание
1   BaseActivity   Базовый абстрактный класс для всех активностей приложения, содержащий общую функциональность, такую как методы жизненного цикла и доступ к сервису аутентификации Supabase
2   BaseFragment   Базовый абстрактный класс для всех фрагментов, обеспечивающий общую функциональность и доступ к сервисам аутентификации
3   MainActivity   Главная активность приложения, содержащая нижнюю навигацию и управляющая отображением основных фрагментов (домашняя страница, библиотека, полки, профиль)
4   SignInActivity   Активность входа в систему, предоставляющая пользователю возможность авторизации с использованием email и пароля
5   SingUpActivity   Активность регистрации нового пользователя с возможностью создания учетной записи
6   BookActivity   Активность для просмотра подробной информации о книге, включая название, автора и прогресс чтения
7   BookReaderActivity   Активность для чтения электронных книг с функциями навигации по страницам и отслеживания прогресса чтения
8   AddBookActivity   Активность для добавления новой книги в библиотеку с возможностью указания названия, автора и выбора файла книги
9   EditBookActivity   Активность для редактирования информации о существующей книге, включая оценку и отзыв
10   ShelfDetailActivity   Активность для просмотра содержимого конкретной полки с книгами и управления ею
11   PersonalDataActivity   Активность для просмотра и редактирования личных данных пользователя
12   SettingsActivity   Активность настроек приложения, позволяющая изменять такие параметры, как темный режим и размер шрифта
13   FilePickerActivity   Активность для выбора файлов из файловой системы устройства при добавлении или изменении книги
14   HomeFragment   Фрагмент домашней страницы, отображающий недавно читаемые книги и статистику чтения пользователя
15   LibraryFragment   Фрагмент библиотеки, отображающий все книги пользователя с возможностью поиска и фильтрации
16   ShelvesFragment   Фрагмент полок, позволяющий пользователю организовывать книги по категориям или коллекциям
17   ProfileFragment   Фрагмент профиля пользователя, отображающий информацию о пользователе и статистику чтения 
